CLAVE,DESCRIPCION,PRECIOS,
7500000000605,DT SALVO 18/1 KG                                            ,$441.10,
7500000000621,JAB TOC ESCUDO VERDE ALOE 72/180 GR                         ,$704.61,
7500000000622,DT SALVO LIMON 20/900 GR                                    ,$450.57,
7500000000643,DOWNY L/E ROMANCE 12/800 ML                                 ,$224.57,
7500000000646,DOWNY L/E TANGO PASION 12/800 ML                            ,$225.09,
7500000000655,TF ALWAYS PINKCESS NOCHE SUAVE C/A ,$197.02,
7500000000665,JAB TOC ESCUDO BLANCO NEUTRO 72/180 GR                      ,$721.11,
7500000000668,DOWNY L/E BLACK ELEGANCE 12/800 ML                          ,$225.16,
7500000000669,JAB TOC ESCUDO ROSA 72/180 GR                               ,$738.97,
7500000000685,JAB TOC ESCUDO SUAVE AVENA 72/180 GR                        ,$785.76,
7500000000712,SALVO LIQ ALTERNATIVA COLOR 25/500 ML   ,$408.97,
7500000000738,DT ACE REGULAR 9/1 KG                                       ,$237.40,
7500000000762,DT SALVO LIMON 9/1.8 KG                                     ,$313.76,
7500000000791,DT MAESTRO LIMPIO REG 32/250 GR                             ,$204.89,
7500000000802,JAB TOC CAMAY ROMANTIC 96/120 GR                            ,$815.02,
7500000000809,DT BOLD FLORAL FPA 24/500 GR                                ,$286.96,
7500000000821,DT LIQ SALVO ALTERNATIVA AL CLORO 12/750 ML                 ,$302.68,
7500000000826,JAB TOC ESCUDO MANZANILLA 72/180 GR                         ,$804.64,
7500000000882,SALSA CATSUP DEL MONTE SQUEEZ 220 GR   ,$177.14,
7500000000909,CH COSTEÑA CHIPOTLE 40/105 GR                               ,$330.78,
7500000000910,CH COSTEÑA CHIPOTLE 24/220 GR                               ,$375.06,
7500000000911,CH COSTEÑA CHIPOTLE 24/380 GR                               ,$657.88,
7500000000914,CH COSTEÑA RAJAS 24/380 GR                                  ,$355.11,
7500000000915,CH COSTEÑA RAJAS 6/2.800 GR                                 ,$420.96,
7500000000916,CH COSTEÑA JALAPEÑOS 24/380 GR                              ,$287.05,
7500000000918,CH COSTEÑA JALAPEÑOS 48/220 GR                              ,$348.83,
7500000000922,FRIJ COSTEÑA BAYO ENTERO 12/560 GR                          ,$130.58,
7500000000923,FRIJ COSTEÑA BAYO REFERITO 12/580 GR                        ,$146.42,
7500000000924,FRIJ COSTEÑA NEGRO ENTERO 12/560 GR                         ,$132.75,
7500000000926,MAYONESA COSTEÑA 12/190 GR                   ,$139.73,
7500000000927,MAYONESA COSTEÑA 12/385 GR                   ,$227.90,
7500000000929,SALSA CATSUP COSTEÑA 3.250 GR                ,$482.88,
7500000000932,VINAGRE COSTEÑA BLANCO 1.05 LT              ,$113.42,
7500000000933,SALSA COSTEÑA RANCHERA 12/475 ML          ,$0.14,
7500000000935,CH COSTEÑA RAJAS 48/220 GR                                  ,$415.43,
7500000000936,CH COSTEÑA RAJAS 40/105 GR                                  ,$197.90,
7500000000937,FRIJ COSTEÑA NEGRO REFRITO 12/580 GR                        ,$146.55,
7500000000939,PURE DE TOMATE COSTEÑA 12/800 GR          ,$253.47,
7500000000942,SALSA COSTEÑA VERDE 12/475 GR                ,$237.23,
7500000000943,SALSA CATSUP COSTEÑA SQUEEZ 24/400 GR  ,$261.65,
7500000000944,PURE DE TOMATE COSTEÑA 2.950 GR            ,$381.23,
7500000000947,MAYONESA COSTEÑA 24/105 GR                   ,$167.60,
7500000000948,MAYONESA COSTEÑA SQUEZZ 330 GR            ,$474.03,
7500000000950,MERMELADA COSTEÑA FRESA 270 GR            ,$177.28,
7500000000951,CREMA CAMPBELLS CHAMPIÑON 24/420 GR                         ,$532.34,
7500000000958,SALSA COSTEÑA TAQUERA 12/475 GR            ,$221.51,
7500000000964,VINAGRE COSTEÑA BLANCO 24/535 ML          ,$151.43,
7500000000973,DT ARCOIRIS BULTO 9 KG                                      ,$146.76,
7500000000975,JAB LAV MORO C/ENV 20/350 GR                                ,$139.58,
7500000000976,JAB LAV ARCOIRIS ROSA C/ENV 20/350 GR                       ,$150.49,
7500000000977,DT PREMIO 9 KG                                              ,$136.13,
7500000000983,SALSA TAJIN POLVO 12/140 GR                     ,$200.92,
7500000000984,SALSA TAJIN POLVO 12/440 GR                     ,$403.03,
7500000000985,VINAGRE BARRILITO BLANCO 12/750 ML        ,$97.36,
7500000000986,VINAGRE BARRILITO MANZANA 12/750 ML     ,$166.21,
7500000000987,VINAGRE BARRILITO COLOR 12/750 ML         ,$97.03,
7500000001041,ACEITE CRISTAL 8/1.500 LT                                   ,$263.93,
7500000001042,ACEITE CRISTAL VEGETAL 12/1 LT                              ,$264.18,
7500000001043,ACEITE CRISTAL VEGETAL 24/500 ML                            ,$266.32,
7500000001085,AGRANEL ALPISTE SIMPLE                                      ,$16.56,
7500000001114,GRASA EL OSO NEUTRA 12/6/90 GR                              ,"$1,411.44",
7500000001115,GRASA EL OSO NEGRA 12/6/90 GR                               ,"$1,474.21",
7500000001117,GRASA EL OSO CAFÉ 2 EN 1 36/90 GR                           ,$793.02,
7500000001121,TINTA EL OSO NEGRA 24/125 ML                   ,$315.67,
7500000001127,AGRANEL CHILE DE ARBOL CON PATA                             ,$80.43,
7500000001161,DT BLANCA NIEVES 40/250 GR                                  ,$244.63,
7500000001163,DT FOCA 10/1 KG                                             ,$262.16,
7500000001167,DT LIQ FOCA 12/1 LT                                         ,$250.06,
7500000001169,DT ROMA 10/1 KG                                             ,$251.07,
7500000001172,DT ROMA BULTO 10 KG                                         ,$244.63,
7500000001174,JAB LAV CORONA ROSA C/ENV 25/400 GR                         ,$290.68,
7500000001182,JAB TOC  ROSA VENUS ROSA 30/200 GR                          ,$222.36,
7500000001185,JAB TOC ROSA VENUS SURTIDO 60/100 GR                        ,$212.62,
7500000001187,JAB LAV TEPEYAC BLANCO C/ENV 25/400 GR                      ,$407.29,
7500000001189,JAB LAV ZOTE AZUL 25/400 GR                                 ,$296.45,
7500000001190,JAB LAV ZOTE BLANCO 25/400 GR                               ,$295.97,
7500000001191,JAB LAV ZOTE BLANCO 50/200 GR                               ,$292.82,
7500000001192,JAB LAV ZOTE BLANCO 60/100 GR                               ,$183.55,
7500000001194,JAB LAV ZOTE ROSA 25/400 GR                                 ,$296.31,
7500000001195,JAB LAV ZOTE ROSA 50/200 GR                                 ,$290.23,
7500000001196,JABON ZOTE ROSA 60/100 GR                                   ,$183.45,
7500000001198,DT PURO SOL 20/500 GR                                       ,$238.13,
7500000001218,JAB TOC TEPEYAC VERDE 40/150 GR                             ,$222.35,
7500000001227,DT LIQ  ROMA 12/1 LT                                        ,$233.46,
7500000001242,PH BIG QUALITY 600 HD 8/6 PZ                    ,$301.12,
7500000001243,PH HORTENSIA MEGA VERDE 400 HD 24/4 PZ ,$479.02,
7500000001244,PH HORTENSIA SUPREME ROSA 450 HD 24/4  ,$508.18,
7500000001264,PH HORTENSIA MORADO MAXI 300 HD 24/4 ,$363.93,
7500000001266,SERVITOALLA BIG QUALITY 24/150 HD          ,$375.31,
7500000001285,VEL SAN JUAN ECOLOG MEDIA SEMANA 20 ,$237.75,
7500000001287,VELAS SAN JUAN 6/16 PZ                              ,$216.84,
7500000001298,CHAROLA PACHANGA TERMICA #66 10/50 PZ                       ,$176.94,
7500000001306,PLATO TERMICO REYMA 8D 25/20 PZ             ,$264.79,
7500000001314,VASO TERMICO #32IJ32 DART 20 PAQ C/15 ,$336.97,
7500000001326,CHAROLA REYMA TERMICA # 066 10/50 PZ                        ,$186.18,
7500000001328,PLATO TERMICO REYMA #6 20/25 PZ             ,$206.87,
7500000001329,PLATO TERMICO 8/L REYMA 20/25 PZ            ,$267.55,
7500000001335,TAPA DART TRANSP C/RAN P/POP 16 SL ,$300.96,
7500000001336,TAPA DART TRANSP C/RAN 32 SL 5/100 PZ     ,$264.79,
7500000001338,CHAROLA REYMA TERMICA 9-2D 10/25 PZ                         ,$275.13,
7500000001339,TAPA DART TRANS C/R P/POP 10 SL1000 PZ   ,$320.03,
7500000001361,GA CUETARA MARIAS 1 KG                                      ,$685.39,
7500000001389,DT ACE REGULAR 48/250 GR                                    ,$291.44,
7500000001390,DT ACE REGULAR 6/3 KG                                       ,$498.86,
7500000001413,ACEITE DE OLIVA ESPAÑOL 10/12/45 ML                         ,$463.67,
7500000001464,LECHE ALPURA DESLACTOSADA 12/1 LT         ,$201.60,
7500000001468,LECHE ALPURA ENTERA AZUL 12/1 LT            ,$197.42,
7500000001506,SP MARUCHAN CAMARON CON CHILE 12/64 ,$79.66,
7500000001508,SP MARUCHAN CAMARON NATURAL 12/64 GR ,$79.66,
7500000001511,SP MARUCHAN RES 12/64 GR                        ,$79.66,
7500000001523,SP RAMEN CAMARON HABANER 12/85 GR       ,$0.29,
7500000001530,ARROZ SOS AZUL TIPO MORELOS 12/1 KG                         ,$220.78,
7500000001537,BL CLARASOL 12/1 LT                                         ,$72.87,
7500000001538,BL CLARASOL 6/1.850 LT                                      ,$67.72,
7500000001542,BL CLARASOL 3/3.785 LT                                      ,$67.72,
7500000001558,ALUMINIO ALUPRACTIK 24/7 MT                                 ,$114.75,
7500000001560,PAPEL ALUMINIO PRACTIK 25/50 MT             ,$679.21,
7500000001585,BARRA ZUCARITAS NIÑO 56/21 GR                               ,$212.83,
7500000001587,BARRA CHOCO KRISPIS NIÑO 56/19 GR                           ,$212.83,
7500000001610,BARRA ALL BRAN PASAS 40 GR                                  ,$25.09,
7500000001633,CEREAL EMPANIZADOR SC 52/160 GR                             ,$600.39,
7500000001643,BARRA FROOT LOOPS  NIÑO 56 /18 GR                           ,$212.83,
7500000001651,CER CHOCO KRISPIS 50/40 GR                                  ,$231.82,
7500000001689,KLEENEX AHORAPACK 24/3/90 PZ  6042         ,$803.64,
7500000001690,TF KOTEX ANAT C/A 10/10 PZ                       ,$138.99,
7500000001692,TF KOTEX ANAT MANZ C/A 10/10 PZ              ,$126.22,
7500000001696,TF KOTEX ANAT S/A 12/10 PZ                       ,$132.98,
7500000001700,TF KOTEX PANTI REGULAR 24/44 PZ              ,$537.54,
7500000001701,TF KOTEX ULTRADELGADA C/A 12/10 PZ        ,$149.40,
7500000001704,TF KOTEX UNIKA ANAT C/A 10/8 PZ               ,$116.49,
7500000001708,PAÑAL ABSORSEC CHICO 4/40 PZ                  ,$338.60,
7500000001713,PAÑAL ABSORSEC JUMBO 4/40 PZ                  ,$502.57,
7500000001719,PAÑAL HUGGIES ET 1 UNISEX 8/24 PZ           ,$624.55,
7500000001721,PAÑAL HUGGIES ULT ET 6 NIÑO 8/31 PZ        ,"$1,541.14",
7500000001722,PAÑAL HUGGIES ULT ET2 UNISEX 6/40 PZ      ,$917.36,
7500000001730,PAÑAL HUGGIES ULT ETAPA 3 NINO 6/36 PZ   ,$906.87,
7500000001731,PAÑAL HUGGIES ULT RN UNISEX 8/24 PZ       ,$599.65,
7500000001732,PAÑAL SUAVELASTIC CHICO 4/38 PZ              ,$517.26,
7500000001746,PAPEL ALUMINIO ALUPAK 24/10 MT               ,$288.97,
7500000001747,PAPEL ALUMINIO ALUPAK 24/8 MT                 ,$206.91,
7500000001752,PH PETALO ULTTRA RESISTENTE 24/221 HD   ,$291.06,
7500000001753,PH PETALO JUMBO MANZANILLA 12/440 HD   ,$268.68,
7500000001755,HIG VOGUE 400 HD 24/4 PZ                                    ,$439.88,
7500000001757,SERVILLETA DELSEY 24/250 PZ                     ,$318.49,
7500000001760,SERVILLETA LYS 12/500 PZ                           ,$301.87,
7500000001763,SERVILLETA PETALO BLANCA 12/450 PZ         ,$426.93,
7500000001774,HIG VOGUE MANZ 12/4/600 HD                                  ,$303.05,
7500000002010,MINI MAMUT 12/32/384 GR                          ,$305.52,
7500000002064,CERVEZA VICTORIA MEGA 12/1.2 ML                             ,$364.99,
7500000002089,CAFE DOLCA 12/48 GR                                         ,$249.67,
7500000002093,CAFE NESCAFE CAPUCCINO MOKA 15/6/25 GR                      ,$461.35,
7500000002098,CAFE DECAF 12/170 GR                                        ,$778.07,
7500000002106,CHOC MORELIA POLVO 24/357 GR                                ,$457.72,
7500000002113,GERBER JAMON/VERD 2 ET 24/100 GR                            ,$175.69,
7500000002122,JUGO MAGGI SAZONADOR 12/125 GR            ,$318.80,
7500000002128,LECHE NAN 2 24/350 GR                               ,"$2,110.97",
7500000002142,LECHE NIDO KINDER 1+ PROTECTUS LATA ,"$1,221.16",
7500000002144,LECHERA GRANDE 48/387 ML                        ,$780.39,
7500000002153,LECHE CLAVEL 12/1 LT                                 ,$374.50,
7500000002154,LECHE CLAVEL 8/360 ML                               ,$89.89,
7500000002173,CAFE NESCAFE CAPUCCINO ORIGINAL 15/6/25 GR                  ,$464.02,
7500000002178,LECHE NAN 3 24/350 GR                               ,"$1,773.89",
7500000002185,JUGO MAGGI SAZONADOR 6/800 ML              ,$843.81,
7500000002190,CAL-C-TOSE BOLSA 30/180 GR                                  ,$636.61,
7500000002192,CAL-C-TOSE LATA 12/800 GR                                   ,$877.59,
7500000002194,CAL-C-TOSE LATA 6/1.750 GR                                  ,$831.70,
7500000002199,CHOC CHOCO MILK LATA 24/400 GR                              ,$867.81,
7500000002203,MICRODYN 25/12/15 ML                               ,"$3,648.68",
7500000002206,HA MINSA 1 KG                                               ,$98.89,
7500000002210,ACEITE DE OLIVA SAN SALVADOR 20/12/45 ML                    ,$771.59,
7500000002211,VAINILLA SAN SALVADOR 20/12/45 ML           ,$427.52,
7500000002236,GELATINA GARI GUANABANA 50/140 GR                           ,$401.84,
7500000002242,CARAMELO D´GARI 500 ML                                      ,$495.77,
7500000002243,CARAMELO D´GARI 50/250 ML                                   ,$576.61,
7500000002245,FLAN GARI 10/1 KG                                           ,$366.99,
7500000002246,FLAN GARI 50/140 GR                                         ,$330.51,
7500000002248,FLAN D´GARI CAPUCHINO 50/140 GR                             ,$330.51,
7500000002251,GELATINA GARI ANIS 50/140 GR                                ,$401.84,
7500000002252,GELATINA GARI CHOCOLATE 50/140 GR                           ,$401.84,
7500000002253,GELATINA GARI DURAZNO 50/140 GR                             ,$401.84,
7500000002254,GELATINA GARI FRAMBRUESA 50/130 GR                          ,$400.44,
7500000002255,GELATINA GARI FRESA AGUA 50/140 GR                          ,$401.84,
7500000002256,GELATINA GARI FRESA LECHE 50/140 GR                         ,$401.84,
7500000002258,GELATINA GARI JEREZ 50/140 GR                               ,$401.84,
7500000002259,GELATINA GARI LIMON 50/140 GR                               ,$401.84,
7500000002260,GELATINA GARI MANDARINA 50/140 GR                           ,$401.84,
7500000002262,GELATINA GARI MELON 50/130 GR                               ,$396.59,
7500000002263,GELATINA GARI MORA SILVESTRE 50/140 GR                      ,$401.84,
7500000002265,GELATINA GARI NUEZ 50/140 GR                                ,$401.84,
7500000002266,GELATINA GARI PIÑA 50/140 GR                                ,$401.84,
7500000002268,GELATINA GARI ROMPOPE 50/140 GR                             ,$401.84,
7500000002370,ACEITE VICTORIA 12/900 ML                                   ,$213.93,
7500000002377,SALSA VALENTINA AMARILLA 12/1 LT            ,$190.22,
7500000002378,SALSA VALENTINA AMARILLA 24/370 ML        ,$190.22,
7500000002381,SALSA VALENTINA AMARILLA SOBRE 10 PZ     ,$190.22,
7500000002382,SALSA VALENTINA NEGRA SOBRE 900/10 GR  ,$200.92,
7500000002389,CAFE LEGAL 6/20/10 GR                                       ,$543.36,
7500000002398,CH CLEMENTE JACQUES JALAPEÑOS NACHO 2.8 GR                  ,$256.05,
7500000002409,FRIJ LA SIERRA NEGRO REFRITO 12/580 GR                      ,$141.24,
7500000002412,SALSA CATSUP CLEMENTE JAQUES 3.100 KG   ,$310.01,
7500000002415,VINAGRE CLEMENTE JACQUES BLANCO ,$167.30,
7500000002432,CAFE ORO 6/20/10 GR                                         ,$580.56,
7500000002436,CAFE CAFE ORO SOLUBLE BOLSA 12/175 GR                       ,$540.71,
7500000002445,CAFE LEGAL 1/60/30 GR                                       ,"$1,949.80",
7500000002462,SALSA VALENTINA NEGRA 24/370 ML             ,$200.92,
7500000002474,SAL ELEFANTE COCINA 20/1 KG                     ,$142.67,
7500000002475,SAL LA FINA DE MESA 18/1 KG                      ,$144.45,
7500000002476,SAL ELEFANTE DE MESA 20/1 KG                   ,$143.24,
7500000002478,SAL LA FINA CHILE Y LIMON 16/125 GR         ,$209.24,
7500000002484,SAL LA FINA BOTE 16/250 GR                       ,$120.73,
7500000002502,SERVILLETAS REGIO 48/125 PZ                     ,$475.45,
7500000002504,TF SABA INTIMA REG S/A 14/10PZ                 ,$148.79,
7500000002508,TF SABA BUENAS NOCHES NOCT C/A 6/24 PZ  ,$313.94,
7500000002509,TF SABA CONF MANZ REG C/A 10/10PZ          ,$134.06,
7500000002511,TF SABA CONF MANZ NOC C/A 10/8PZ            ,$131.24,
7500000002557,BOING SURTIDO 24/500 ML                                     ,$148.61,
7500000002560,BOING SURTIDO 12/1 LT                                       ,$148.61,
7500000002568,GEL XTREME EXH 6/30/12 GR                                   ,$497.70,
7500000002570,GEL XTREME 24/250 GR                                        ,$196.65,
7500000002588,SALVO LIQ ALTERNATIVA AL CLORO 20/500   ,$353.33,
7500000002594,LECHE NIDO NUTRI-RINDES 24/480 GR          ,$815.17,
7500000002621,ATUN DOLORES ACEITE 48/140 GR                               ,$620.89,
7500000002636,JAB TOC ZEST AQUA 96/120 GR                                 ,$772.73,
7500000002747,HA LA MODERNA DE TRIGO 10/1 KG                              ,$123.64,
7500000002750,SP LA MODERNA ALMEJA 20/200 GR              ,$84.41,
7500000002751,SP LA MODERNA CARACOL #3 20/200 GR       ,$84.41,
7500000002752,SP LA MODERNA CODO #1 20/200 GR            ,$84.41,
7500000002753,SP LA MODERNA CODO #2 20/200 GR            ,$84.41,
7500000002754,SP LA MODERNA CODO #3 20/200 GR            ,$84.41,
7500000002755,SP LA MODERNA CODO #4 20/200 GR            ,$84.41,
7500000002756,SP LA MODERNA CORBATA 20/200 GR            ,$84.41,
7500000002757,SP LA MODERNA CORONA 20/200 GR             ,$84.41,
7500000002758,SP LA MODERNA ENGRANE 20/200 GR            ,$84.41,
7500000002760,SP LA MODERNA ESTRELLA 20/200 GR           ,$84.41,
7500000002761,SP LA MODERNA FIDEO #0 20/200 GR           ,$84.41,
7500000002762,SP LA MODERNA FIDEO #1 20/200 GR           ,$84.41,
7500000002763,SP LA MODERNA FIDEO #2 20/200 GR           ,$84.41,
7500000002764,SP PASTILARA FIDEO CADEJO 20/180  GR      ,$70.56,
7500000002766,SP LA MODERNA LENGUA 20/200 GR              ,$84.41,
7500000002767,SP LA MODERNA LENTEJA 20/200 GR             ,$84.41,
7500000002768,SP LA MODERNA LETRA 20/200 GR                ,$84.41,
7500000002769,SP LA MODERNA MOÑITO 20/200 GR             ,$84.41,
7500000002771,SP LA MODERNA MUNICION 20/200 GR          ,$84.41,
7500000002772,SP LA MODERNA OJITO 20/200 GR                ,$84.41,
7500000002773,SP LA MODERNA PLUMA 20/200 GR                ,$84.41,
7500000002774,SP LA MODERNA SOMBRERO 20/200 GR         ,$84.41,
7500000002775,SP LA MODERNA SPAGUETI 20/200 GR           ,$84.41,
7500000002776,SP LA MODERNA TALLARIN #1 20/200 GR      ,$84.41,
7500000002777,SP LA MODERNA TALLARIN #2 20/200 GR      ,$84.41,
7500000002778,SP LA MODERNA TORNILLO 20/200 GR           ,$84.41,
7500000002782,HA 3 ESTRELLAS DE ARROZ 18/500 GR                           ,$214.44,
7500000002784,HA 3 ESTRELLAS DE ARROZ 36/250 GR                           ,$219.24,
7500000002796,SP LA MODERNA CARACOL #1 20/200 GR       ,$84.41,
7500000002797,SP LA MODERNA CARACOL #2 20/200 GR       ,$84.41,
7500000002800,SP LA MODERNA MACARRON 20/200 GR         ,$84.41,
7500000002806,SP PASTILARA SPAGUETTI 20/200 GR            ,$70.56,
7500000002868,TF SABA TEENS LARGA C/A 12/10 PZ              ,$259.55,
7500000003383,PASTA DENTAL CREST COMPLETE LIM PROF ,$544.46,
7500000003401,DS MUM ROLL ON FLORAL 24/60 GR                              ,$330.17,
7500000003453,JAB TOC ESCUDO AZUL NATURAL 120GR                           ,$750.57,
7500000003473,JAB TOC ZEST NATURA AGUACATE 96/120 GR                      ,$854.37,
7500000003475,JAB TOC ZEST NATURA ALME/AVENA 96/120 GR                    ,$850.69,
7500000003477,JAB TOC ZEST NATURA MANZ/LECHE 96/120 GR                    ,$851.83,
7500000003478,JAB TOC ZEST NATURA MIEL/YOGHURT 96/120 GR                  ,$853.03,
7500000003480,JAB TOC ZEST NATURA SABILA/PEPINO 96/120 GR                 ,$851.79,
7500000003545,PAÑAL HUGGIES ULT C. ET3 NIÑA  6/36 PZ     ,$975.79,
7500000003546,PAÑAL HUGGIES ULT C. ET3 NIÑO 6/36          ,$0.08,
7500000003547,PAÑAL HUGGIES ULT C. ET4 NIÑA 6/36          ,"$1,090.65",
7500000003548,PAÑAL HUGGIES ULT C. ET4 NIÑO 6/36          ,"$1,077.17",
7500000003549,PAÑAL HUGGIES ULT C. ET5 NIÑA 8/31          ,"$1,454.53",
7500000003550,PAÑAL HUGGIES ULT C. ET5 NIÑO 31             ,"$1,426.43",
7500000003551,PAÑAL HUGGIES ULT C. ET6 NIÑA 8/31          ,"$1,523.89",
7500000003769,JAB TOC ROSA VENUS ROSA 60/100 GR                           ,$222.36,
7500000003770,JAB TOC ROSA VENUS ROSA 240/25 GR                           ,$244.57,
7500000003773,PRO-NATURAL DERM CR EXTREME 16/630 ML ,$364.67,
7500000003781,JAB PRO-NATURAL DERM ANTI GRANA 12/525 ML                   ,$239.19,
7500000005768,PAÑAL TENA CONFORT MED 4/10                  ,$239.01,
7500000005775,PH REGIO RINDE+ 420 HD 18/4 R                 ,$351.33,
7500000005782,TF SABA CONF MANZ REG S/A 10/10              ,$107.32,
7500000005787,TF SABA INVISIBLE DEL C/A 16/10                 ,$243.00,
7500000005790,TF SABA TEENS DELG NOCTURNA C/A 12/10   ,$291.41,
7500000005829,PROMO GEL XTREME 24/250GR                     ,$185.40,
7500000005878,ATUN DOLORES AGUA 48/140 GR                                 ,$611.08,
7500000005883,FRIJ ISADORA BAYO 24/430 GR                                 ,$237.78,
7500000005886,TF SABA INTIMA CLIP REG C/A 14/10PZ         ,$181.91,
7500000005893,CAFÉ NESCAFE VAINILLA 15/6/25 GR                            ,$456.90,
7500000005907,TF KOTEX F&S TAMP REG 24/10PZ                 ,$867.25,
7500000005910,DT SALVO LIMON 12/300 ML                                    ,$127.32,
7500000005982,ACEITE 1-2-3 12/1 LT                                        ,$271.39,
7500000005990,JAB TOC ZEST NEUTRO 96/120 GR                               ,$773.23,
7500000006002,TF KOTEX F&S TAMP SUPER 24/10                 ,$882.22,
7500000006012,TF ALWAYS NOCHES SECA C/A 12/8 PZAS       ,$241.33,
7500000006035,TAMPAX SUPER PLUS C/APLICADOR C/10       ,$346.20,
7500000006098,NIDO CLASICA 6/1.600 GR                            ,$993.57,
7500000006153,TANG NARANJA 12/8/15 GR                          ,$291.23,
7500000006167,VLD CAFETERO ESPIRITU DIVINO 20 PZ         ,$237.83,
7500000006169,VLD CUBERO ESPIRITU DIVINO 20 PZ            ,$273.37,
7500000006172,VLD ECOLG ESPIRITU DIVINO 1/2 SEMANA ,$249.57,
7500000006174,VLD LIMONERO ESPIRITU DIVINO 20PZ          ,$273.44,
7500000006303,GEL XTREME TRANSP ATRACTION 12/200 GR                       ,$108.66,
7500000006568,GERBER MANGO 2 ET 24/113 GR                                 ,$214.00,
7500000006763,PAÑUELOS KLEENEX AHORRAPACK 24/2/180 ,$982.27,
7500000006940,TF SABA BUENAS NOCHES C/A 14/8 PZ           ,$261.02,
7500000007214,DT LIQ SALVO PETALOS 20/500 ML                              ,$413.75,
7500000007215,DT LIQ SALVO PETALOS DE ROSA 12/750 ML                      ,$318.79,
7500000007217,DT LIQ SALVO SAVILA 20/500 ML                               ,$384.90,
7500000007219,DT ACE NATURALS 18/900 GR                                   ,$394.43,
7500000007246,COLGATE TOTAL 10/4/150ML                                    ,$126.40,
7500000007285,GELATINA GARI NARANJA 50/140 GR                             ,$401.84,
7500000007287,VLD ARAMO ECOL COLORES #4 C/24             ,$325.46,
7500000007362,JAB TOC ROSA VENUS AZUL 40/150 GR                           ,$225.28,
